name,label,concept,geography
B17025_013,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Foreign born:,Poverty Status in the Past 12 Months by Nativity,NA
B17025_014,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Foreign born:!!Naturalized citizen,Poverty Status in the Past 12 Months by Nativity,NA
B17025_015,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Foreign born:!!Not a citizen,Poverty Status in the Past 12 Months by Nativity,NA
B19019_001,Estimate!!Total:,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_002,Estimate!!Total:!!1-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_003,Estimate!!Total:!!2-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_004,Estimate!!Total:!!3-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_005,Estimate!!Total:!!4-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_006,Estimate!!Total:!!5-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_007,Estimate!!Total:!!6-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B19019_008,Estimate!!Total:!!7-or-more-person households,Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,NA
B27020_001,Estimate!!Total:,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_002,Estimate!!Total:!!Native Born:,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_003,Estimate!!Total:!!Native Born:!!With health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_004,Estimate!!Total:!!Native Born:!!With health insurance coverage!!With private health insurance,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_005,Estimate!!Total:!!Native Born:!!With health insurance coverage!!With public coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_006,Estimate!!Total:!!Native Born:!!No health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_007,Estimate!!Total:!!Foreign Born:,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_008,Estimate!!Total:!!Foreign Born:!!Naturalized:,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_009,Estimate!!Total:!!Foreign Born:!!Naturalized:!!With health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_010,Estimate!!Total:!!Foreign Born:!!Naturalized:!!With health insurance coverage!!With private health insurance,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_011,Estimate!!Total:!!Foreign Born:!!Naturalized:!!With health insurance coverage!!With public coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_012,Estimate!!Total:!!Foreign Born:!!Naturalized:!!No health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_013,Estimate!!Total:!!Foreign Born:!!Noncitizen:,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_014,Estimate!!Total:!!Foreign Born:!!Noncitizen:!!With health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_015,Estimate!!Total:!!Foreign Born:!!Noncitizen:!!With health insurance coverage!!With private health insurance,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_016,Estimate!!Total:!!Foreign Born:!!Noncitizen:!!With health insurance coverage!!With public coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B27020_017,Estimate!!Total:!!Foreign Born:!!Noncitizen:!!No health insurance coverage,Health Insurance Coverage Status and Type by Citizenship Status,NA
B28011_001,Estimate!!Total:,Internet Subscriptions in Household,NA
B28011_002,Estimate!!Total:!!With an Internet subscription,Internet Subscriptions in Household,NA
B28011_003,Estimate!!Total:!!With an Internet subscription!!Dial-up alone,Internet Subscriptions in Household,NA
B28011_004,"Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL",Internet Subscriptions in Household,NA
B28011_005,Estimate!!Total:!!With an Internet subscription!!Satellite Internet service,Internet Subscriptions in Household,NA
B28011_006,Estimate!!Total:!!With an Internet subscription!!Other service,Internet Subscriptions in Household,NA
B28011_007,Estimate!!Total:!!Internet access without a subscription,Internet Subscriptions in Household,NA
B28011_008,Estimate!!Total:!!No Internet access,Internet Subscriptions in Household,NA
